Libellé Fonction,Sous-fonction,Libellé sous-fonction,Article,Bénéficiaire,Budget de l'année,Libellé article
Sports et jeunesse,422.1,Action socio-éducative,6574,AMSIC  (Association Maison des Squares Solidarité Interculturelle Citoyenneté ),202587,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.2,Tranquillité publique  prévention de la délinquance,6574,Association CIME Cité et Médiation,35000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Association Rennaise des Espaces Jeux (AREJ),21560,Subv. fonct. aux associat.et autres personnes droit privé
Culture,33.1,Autres actions artistiques et culturelles,6574,Bruit de Lire - Goncourt des lycéens,26000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Centre d'Information sur les Droits des Femmes et des Familles d'Ille-et-Vilaine (CIDFF 35),27093,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,512.2,Actions de prévention sanitaire,6574,Centre Régional d'Information Jeunesse Bretagne (CRIJB),31800,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,521.1,Handicap et accessibilité,6574,COLLECTIF HANDICAP 35,23000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,Ligue de l'Enseignement-FAL 35 - Rencontres Nationales de l'Education,30000,Subv. fonct. aux associat.et autres personnes droit privé
Action économique,94.3,Consommation - diverses actions,6574,MCE CENTRE DE DOCUMENTATION,8160,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,MOUVEMENT ASSOCIATIF RENNAIS,10197,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Parenbouge (projet Parendom),70000,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Poupenn,77000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,521.1,Handicap et accessibilité,6574,Provision actions en faveur des personnes handicapés,18389,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,PROVISION ESPACES JEUX CHARTE QUALITE,12850,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,PROVISION MANIFESTATION ND4J,170200,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Provision pour animation socio-éducative,20000,Subv. fonct. aux associat.et autres personnes droit privé
Culture,311.15,CRR - Musiques,6574,Provision Soutien pédagogique pratique art amateur,1420,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,Ty Bugalé,100000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.15,Oeuvres  scolaires,6574,Union Départementale des Associations de Parents d'Elèves de l'Enseignement Libre (APEL),1000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,UNIS CITE CONTRAT MISSION,12000,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains,822.1,Circulation voirie,6574,Association Rayons d'action,1000,Subv. fonct. aux associat.et autres personnes droit privé
Enseignement et formation,255.1,Activités éducatives périscolaires,6574,Association Loisirs Pluriel,29100,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Maison Internationale de Rennes (MIR),312949,Subv. fonct. aux associat.et autres personnes droit privé
Famille,64.116,Autres crèches,6574,MERLINPINPIN - MULTI ACCUEIL LES PETITS MERLINS,144000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,524.1,Autres interventions  sociales,6574,Provision aide aux syndicats pour matériel et remboursement charges,177876,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Provision Fonds de fonctionnement et projets (ex. Fonds globaux),408468,Subv. fonct. aux associat.et autres personnes droit privé
Aménagement et service urbains,824.4,Actions quartiers,6574,Provision actions quartiers,61498,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,40.25,Animation sportive,6574,Rennes Etudiants Club Volley-ball Professionnel (REC Volley Filles Nationale 2),5000,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,Provision pour actions en faveur des 11/15 ans,27000,Subv. fonct. aux associat.et autres personnes droit privé
Interventions sociales et santé,523.1,Actions en faveur des personnes en difficulté,6574,Secours Catholique,15000,Subv. fonct. aux associat.et autres personnes droit privé
Services généraux des administrations publiques locales,48.101,Jumelages et Relations Internationales,6574,Association jumelage  Rennes-Poznan,1066,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.1,Action socio-éducative,6574,Association Hexagone - Micro équipement Haut-Blosne,8570,Subv. fonct. aux associat.et autres personnes droit privé
Sports et jeunesse,422.2,Autres actions en faveur des jeunes,6574,AFEV CONTRAT DE MISSION,36000,Subv. fonct. aux associat.et autres personnes droit privé
