activite_association,id,nom_beneficiaire,Nature subv.,objet,"N°
DCM",annee_vote,montant,"Conv°
Lettre engagement",siret, Nature , Modalités de paiement ,Technique & Recherche,Architecture & urbanisme,Social,Education & formation,Culture & Arts,Humanitaire,Communication & média,Environnement & écologie,Aides aux associations,Sport,Santé,Relations internationales,Idée & opinion,Loisirs,Déplacements et transports,Tourisme,Mémoire,Défense des droits et des intérêts,Economie,Emploi,Précarité & Exclusion,Vie et animation locale
Aides aux associations,13.0,FRANCE BENEVOLAT MONTPELLIER HERAULT CA13!,Fonctionnement,,V2018-483,19/12/2018,1500,En attente réception,52901845900014.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sport,25.0,LES PETITS DEBROUILLARDS OCCITANIE CA25!,Projet,LA TETE ET LES JAMBES,V2018-488,19/12/2018,3000,En attente réception,41177507500046.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,25.0,LES PETITS DEBROUILLARDS OCCITANIE CA25!,Fonctionnement,,V2018-486,19/12/2018,2300,En attente réception,41177507500046.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,29.0,MONTPELLIER CONTACTS - RADIO CLAPAS CA29!,Fonctionnement,,V2018-508,19/12/2018,8000,En attente réception,84165197900012.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environnement & écologie,31.0,SOCIETE D'HORTICULTURE ET D'HISTOIRE NATURELLE DE L'HERAULT SHHNH CA31!,Fonctionnement,,V2018-501,19/12/2018,1000,Reçue,38781397500027.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Environnement & écologie,31.0,SOCIETE D'HORTICULTURE ET D'HISTOIRE NATURELLE DE L'HERAULT SHHNH CA31!,Projet,ETUDE DE LA BIODIVERSITÉ URBAINE,V2018-501,19/12/2018,500,Reçue,38781397500027.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,38.0,RADIO AVIVA AMDCJLR CA38!,Fonctionnement,,V2018-508,19/12/2018,8000,En attente réception,34759532400018.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,48.0,FM PLUS ASSO PROTESTANTE DE RADIO-TELEVISION RADIO FM PLUS CA48!,Fonctionnement,,V2018-508,19/12/2018,8000,En attente réception,35409383300029.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education & formation,64.0,ADAGES CA64!,Fonctionnement,,V2018-498,19/12/2018,7500,Reçue,33977442400263.0,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culture & Arts,76.0,COMITE DE QUARTIER SAINT ROCH ET ECUSSON CA76!,Projet,PRINTEMPS DES POÈTES DANS LE QUARTIER ST ROCH,V2018-508,19/12/2018,300,En attente réception,75400592400016.0,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
