Thématique,N°Asso.,Nom association,Nature subv.,Titre du projet,"N°
DCM","DCM
Date", Accordé ,"Conv°
Lettre engagement",SIRET, Nature , Modalités de paiement 
VIE ASSOCIATIVE,13,FRANCE BENEVOLAT MONTPELLIER HERAULT CA13!,Fonctionnement,,V2018-483,19/12/2018," 1,500 € ",En attente réception,52901845900014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
PARTENARIATS SPORT,25,LES PETITS DEBROUILLARDS OCCITANIE CA25!,Projet,LA TETE ET LES JAMBES,V2018-488,19/12/2018,"3,000 €",En attente réception,41177507500046,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
REUSSITE EDUCATIVE,25,LES PETITS DEBROUILLARDS OCCITANIE CA25!,Fonctionnement,,V2018-486,19/12/2018,"2,300 €",En attente réception,41177507500046,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,29,MONTPELLIER CONTACTS - RADIO CLAPAS CA29!,Fonctionnement,,V2018-508,19/12/2018,"8,000 €",En attente réception,84165197900012,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
ECOLOGIE URBAINE,31,SOCIETE D'HORTICULTURE ET D'HISTOIRE NATURELLE DE L'HERAULT SHHNH CA31!,Fonctionnement,,V2018-501,19/12/2018,"1,000 €",Reçue,38781397500027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
ECOLOGIE URBAINE,31,SOCIETE D'HORTICULTURE ET D'HISTOIRE NATURELLE DE L'HERAULT SHHNH CA31!,Projet,ETUDE DE LA BIODIVERSITÉ URBAINE,V2018-501,19/12/2018,500 €,Reçue,38781397500027,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,38,RADIO AVIVA AMDCJLR CA38!,Fonctionnement,,V2018-508,19/12/2018,"8,000 €",En attente réception,34759532400018,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,48,FM PLUS ASSO PROTESTANTE DE RADIO-TELEVISION RADIO FM PLUS CA48!,Fonctionnement,,V2018-508,19/12/2018,"8,000 €",En attente réception,35409383300029,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
ENFANCE,64,ADAGES CA64!,Fonctionnement,,V2018-498,19/12/2018,"7,500 €",Reçue,33977442400263,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,76,COMITE DE QUARTIER SAINT ROCH ET ECUSSON CA76!,Projet,PRINTEMPS DES POÈTES DANS LE QUARTIER ST ROCH,V2018-508,19/12/2018,300 €,En attente réception,75400592400016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,76,COMITE DE QUARTIER SAINT ROCH ET ECUSSON CA76!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,75400592400016,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,80,LES AMIS DU MUSEE FABRE AMF CA80!,Fonctionnement,,V2018-508,19/12/2018,"4,000 €",En attente réception,35243781800037,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,92,AMICALE DES RETRAITES LOU CLAPAS CA92!,Fonctionnement,,V2018-483,19/12/2018, 500 € ,En attente réception,45023490100012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,105,FESTIVAL INTERNATIONAL DU CINEMA MEDITERRANEEN DE MONTPELLIER CINEMED CA105!,Fonctionnement,,V2018-508,19/12/2018,"247,000 €",En attente réception,37762969600040,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,105,FESTIVAL INTERNATIONAL DU CINEMA MEDITERRANEEN DE MONTPELLIER CINEMED CA105!,Projet,26ÈME FESTIVAL JEUNE PUBLIC,V2018-508,19/12/2018,"6,000 €",En attente réception,37762969600040,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,107,LES AMIS DE JEAN VIGO CA107!,Fonctionnement,,V2018-508,19/12/2018,"12,500 €",En attente réception,82300982400017,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
VIE ASSOCIATIVE,122,MAJORETTES DE MONTPELLIER DITES MAJOR'S GIRLS CA122!,Fonctionnement,,V2018-483,19/12/2018," 2,850 € ",En attente réception,75309303800010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
VIE ASSOCIATIVE,122,MAJORETTES DE MONTPELLIER DITES MAJOR'S GIRLS CA122!,Projet,FESTIVAL INTERNATIONAL DE GIULIANOVA (ITALIE),V2018-483,19/12/2018," 3,000 € ",En attente réception,75309303800010,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
JEUNESSE & SPORT / SPORTS,128,MONTPELLIER HANDBALL CA128!,Fonctionnement,,V2018-488,19/12/2018,"57,000 €",En attente réception,35195989500035,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
CULTURE,130,FRIENDS OF THE ANGLOPHONE LIBRARY CA130!,Fonctionnement,,V2018-508,19/12/2018,300 €,En attente réception,53452190100015,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
SANTE,132,AMIS DE LA BIBLIOTHEQUE DES HOPITAUX DE MONTPELLIER CA132!,Fonctionnement,,V2018-510,19/12/2018,700 €,En attente réception,75389688500013,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,146,AMIS DE L'ORGUE ET CHÆURS DE LA CATHEDRALE CA146!,Fonctionnement,,V2018-508,19/12/2018,"1,800 €",En attente réception,77606121000014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,148,CHOEURS DE L'ENCLOS CA148!,Fonctionnement,,V2018-508,19/12/2018,"2,300 €",En attente réception,40265985800029,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,149,ENSEMBLE VOCAL CLAIRE GARRONE CA149!,Fonctionnement,,V2018-508,19/12/2018,"4,300 €",En attente réception,43993262500031,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,151,CHOEUR UNIVERSITAIRE DE MONTPELLIER MEDITERRANEE CA151!,Fonctionnement,,V2018-508,19/12/2018,"2,300 €",En attente réception,48538621300014,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,152,GROUPE VOCAL ARLEQUIN CA152!,Fonctionnement,,V2018-508,19/12/2018,500 €,En attente réception,78857238600019,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,153,ENSEMBLE VOCAL ET INSTRUMENTAL DE MONTPELLIER CA153!,Fonctionnement,,V2018-508,19/12/2018,"4,000 €",En attente réception,39800311100042,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
CULTURE,154,JAM - JAZZ ACTION MONTPELLIER CA154!,Fonctionnement,,V2018-508,19/12/2018,"10,000 €",En attente réception,32526719300051,Aide financière,70% à réception de la convention signée du Président et du RIB / 30% à réception des pièces complémentaires mentionnées dans la convention
SANTE,155,JALMALV  MONTPELLIER CA155!,Fonctionnement,,V2018-510,19/12/2018,"3,000 €",En attente réception,45138043000012,Aide financière,Paiement en une seule fois à reception de la lettre d'engagement signée du président et du RIB
